quantized_input32_4threads,non_quantized_4threads,quantized_input32_1thread,non_quantized_1thread
239,367,514,714
264,340,424,687
212,334,429,683
224,287,423,683
200,336,421,686
236,279,424,683
201,290,423,684
234,367,422,682
231,300,421,683
215,361,426,686
245,347,424,684
244,311,421,682
234,303,423,681
246,291,423,692
291,367,423,686
234,316,423,683
292,323,424,687
255,296,422,681
262,394,421,682
251,383,421,684
260,270,423,691
250,312,422,682
200,336,422,682
210,289,426,684
202,329,421,683
213,299,421,686
246,322,424,682
214,283,422,688
223,346,422,685
243,291,421,681
447,317,523,733
269,301,431,697
208,347,422,683
207,315,423,683
216,352,424,686
227,372,423,687
220,305,423,682
212,341,422,686
206,357,427,687
207,296,423,684
206,313,425,683
222,310,423,687
227,312,422,684
212,297,424,684
218,319,424,684
204,307,427,684
204,330,422,684
223,298,422,684
240,344,423,684
234,346,423,683
214,309,422,683
205,315,422,683
217,312,428,684
210,327,423,686
223,352,422,684
218,289,424,683
207,273,425,686
219,308,423,683
204,273,424,685
216,296,425,688
243,326,516,784
235,363,425,697
218,276,426,689
203,302,422,688
247,326,421,690
236,283,423,692
243,297,423,690
221,306,422,690
216,310,421,690
213,371,426,693
209,325,420,744
214,306,422,692
198,327,426,682
216,280,422,679
218,345,423,685
283,316,421,681
260,330,426,680
230,298,421,682
214,284,421,679
246,336,424,679
213,322,421,680
201,338,422,679
208,350,421,681
234,326,425,681
251,295,421,680
238,323,423,681
223,335,421,679
247,306,422,680
239,329,422,680
222,287,421,683
241,364,514,681
240,330,428,682
246,297,422,682
239,296,422,684
295,364,423,681
233,327,421,681
240,296,421,682
200,350,422,683
236,332,421,685
212,304,419,682
200,347,420,770
235,313,420,690
243,300,420,682
243,287,421,683
263,311,420,682
249,318,420,684
226,329,419,680
237,296,424,684
246,335,421,682
233,344,421,682
220,331,424,681
206,302,422,680
234,364,420,683
249,300,423,683
243,339,420,682
230,293,419,683
202,392,421,683
213,363,421,682
208,272,421,687
213,291,419,682
270,371,486,684
253,390,422,684
249,314,420,683
232,336,420,679
210,290,421,685
246,272,421,684
200,297,423,682
211,351,421,685
201,280,420,683
230,279,424,682
227,282,420,723
205,346,420,689
204,294,420,682
255,304,420,679
236,335,421,681
214,278,423,685
243,295,419,682
242,312,420,681
234,317,419,684
220,371,421,683
203,290,421,682
229,302,422,682
