quantized_input32_4threads,non_quantized_4threads,quantized_input32_1thread,non_quantized_1thread
384,460,599,908
337,423,532,841
314,431,531,835
318,397,531,831
326,393,532,837
313,402,534,835
313,407,531,836
303,389,532,830
326,461,528,838
320,433,536,837
310,415,527,838
338,444,532,831
312,370,529,833
340,452,534,836
314,478,528,837
340,389,532,836
318,384,530,834
314,383,530,839
308,371,528,836
331,467,531,833
314,368,530,835
310,465,532,838
313,404,532,837
325,398,530,834
342,392,531,833
356,443,532,840
336,445,530,837
325,450,530,836
327,380,533,831
315,391,531,837
397,482,584,913
336,466,533,837
334,399,530,831
321,485,532,836
344,433,531,838
332,434,528,836
312,410,532,832
325,445,533,834
338,438,532,836
313,382,534,837
314,440,533,832
331,448,532,830
305,373,533,837
328,368,531,836
332,381,534,836
337,450,529,835
310,425,533,836
315,451,531,835
329,415,530,836
317,398,533,834
333,383,529,837
335,379,531,837
320,416,534,836
317,445,534,831
320,371,532,837
316,448,531,836
319,403,534,835
336,386,533,832
330,437,532,833
321,401,531,836
380,473,627,922
343,415,535,842
337,372,530,833
320,400,532,838
324,449,531,837
335,465,528,838
317,382,530,836
315,450,532,835
320,482,531,839
332,371,532,838
307,449,533,835
339,376,528,833
320,469,527,839
331,433,532,836
328,407,530,835
305,386,528,833
316,371,531,839
347,475,521,836
323,417,523,837
313,418,524,833
323,453,526,836
338,400,528,838
310,435,525,838
322,423,523,834
327,383,522,835
318,475,523,837
319,458,523,836
310,381,522,835
313,376,523,837
319,437,522,840
369,487,572,902
341,449,535,837
306,419,530,834
318,416,535,833
322,447,531,837
307,441,533,838
313,383,531,837
315,459,535,830
313,418,530,837
335,446,534,836
325,404,528,836
310,438,532,832
305,464,530,833
316,426,532,837
314,401,529,836
339,476,533,834
334,443,524,837
312,443,531,837
305,470,532,835
344,383,530,833
311,465,531,837
316,457,533,837
326,438,533,836
325,440,530,833
328,396,532,833
322,394,534,837
318,371,531,833
309,469,532,837
310,376,532,831
338,364,533,837
379,482,582,904
335,446,532,840
317,457,530,837
301,425,532,835
325,447,531,831
311,376,533,837
317,371,534,833
325,379,531,836
338,372,531,832
325,370,531,833
337,448,531,834
315,382,531,835
374,385,529,836
311,457,534,834
314,379,530,837
355,393,531,838
307,462,529,834
335,470,536,840
323,385,528,838
305,391,529,837
303,372,529,832
332,447,532,832
307,399,530,837
326,439,529,837
320,426,529,837
313,398,529,831
325,443,528,837
320,402,532,837
316,387,531,835
312,461,534,831
363,482,571,902
326,446,528,841
327,435,530,836
315,370,531,833
314,393,530,837
359,367,531,838
348,393,528,835
315,390,531,837
331,423,527,836
322,450,533,835
305,385,530,837
325,401,537,833
330,372,527,836
358,372,531,833
331,437,557,833
307,403,556,833
342,372,557,838
324,371,563,840
312,373,556,837
322,437,538,830
336,474,551,836
313,435,543,834
322,403,540,836
325,446,557,832
317,455,539,836
330,369,529,839
316,370,528,837
322,387,530,832
304,385,526,834
342,382,531,835
373,459,586,916
350,423,532,841
317,377,531,836
354,448,534,831
322,406,534,835
314,368,536,832
323,364,533,839
329,406,533,834
295,450,534,834
330,394,533,837
353,390,534,837
